TimeDate,signal quality,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,lowgamma,mid gamma
13:08:30 12-12-2024,0,66,60,4919,4038,3101,6751,6849,17455,13727,3176
13:08:31 12-12-2024,0,80,56,2760,9933,1617,2054,8417,10133,6834,5589
13:08:32 12-12-2024,0,80,48,786425,52173,13803,22920,18895,9298,7779,4662
13:08:33 12-12-2024,0,53,48,48220,32561,12314,18438,6622,6008,6138,2649
13:08:34 12-12-2024,0,40,43,28679,31178,6595,5131,7732,15183,5944,2032
13:08:35 12-12-2024,0,44,57,7090,1727,4821,4317,3432,11223,5045,1790
13:08:36 12-12-2024,0,51,47,19190,19289,1251,3135,2110,6138,11653,4228
13:08:37 12-12-2024,0,60,38,17241,20049,5656,5989,5350,6172,7830,1923
13:08:38 12-12-2024,0,48,50,69109,23024,13087,5114,1554,4845,3673,5158
13:08:39 12-12-2024,0,17,43,50136,73861,11644,12176,1045,4841,10295,5295
13:08:40 12-12-2024,0,21,67,36341,4842,11049,14263,2361,9520,6105,1399
13:08:41 12-12-2024,0,30,80,5759,4003,4065,7757,1496,7726,10082,1964
13:08:42 12-12-2024,0,44,78,4341,6016,3608,14204,14177,11190,9119,2912
13:08:43 12-12-2024,0,66,80,9055,21520,9914,2676,1806,14996,6391,2342
13:08:44 12-12-2024,0,53,78,5781,16772,4785,32367,7953,4655,10961,1784
13:08:45 12-12-2024,0,53,66,7200,6940,4233,5813,10252,9993,18750,3716
13:08:46 12-12-2024,0,47,64,23066,21254,9907,6667,7043,9859,8107,3203
13:08:47 12-12-2024,0,34,80,8102,19101,12045,17045,3168,4490,10716,5839
13:08:48 12-12-2024,0,48,69,9041,17378,8496,10063,4744,14516,7931,4716
13:08:49 12-12-2024,0,37,66,29303,59768,19837,5260,11256,14292,6982,4446
13:08:50 12-12-2024,0,50,61,7279,9825,6455,4280,5115,19326,10362,5262
13:08:51 12-12-2024,0,74,43,1939,4682,604,3532,8695,8975,17373,1447
13:08:52 12-12-2024,0,69,35,8835,31102,9060,5148,7326,14073,9467,2020
13:08:53 12-12-2024,0,75,44,18287,14624,12005,4570,4862,8780,3153,1606
13:08:54 12-12-2024,0,70,50,7497,4791,2418,8834,5608,12019,5565,2406
13:08:55 12-12-2024,0,64,56,3129,2632,3596,3069,11990,5070,11613,3637
13:08:56 12-12-2024,0,69,60,14189,7877,1873,4901,3084,7418,9320,2607
13:08:57 12-12-2024,0,57,60,18573,41876,26809,13883,9361,6668,11172,6186
13:08:58 12-12-2024,0,54,48,10430,31398,5279,4889,4149,21230,14041,5917
13:08:59 12-12-2024,0,56,54,1427,2409,5949,2442,5414,6169,16423,1526
13:09:00 12-12-2024,0,54,67,4256,1736,5898,13282,5130,8911,28231,6641
13:09:01 12-12-2024,0,81,48,2382,7902,448,2717,6131,13357,8037,2085
13:09:02 12-12-2024,0,77,47,322908,19295,1482,3685,8960,7115,8780,2942
13:09:03 12-12-2024,0,75,47,21282,9803,6195,8743,2531,12263,12702,4097
13:09:04 12-12-2024,0,74,38,4422,10257,7137,6705,4539,7769,7447,2431
13:09:05 12-12-2024,0,61,51,7995,11480,8739,1793,7001,8150,9007,6219
13:09:06 12-12-2024,0,61,63,4766,20673,8596,6650,5748,12000,3541,1717
13:09:07 12-12-2024,0,63,67,5437,3504,13134,4092,4116,10818,11127,1543
13:09:08 12-12-2024,0,70,66,12447,4901,2875,9575,3458,14811,9262,3581
13:09:09 12-12-2024,0,80,67,7558,4851,6958,1143,909,10725,9294,2737
13:09:10 12-12-2024,0,69,66,449166,27349,4882,8670,10661,5402,7141,3861
13:09:11 12-12-2024,0,64,47,16312,22815,3990,2199,6711,8839,18871,1896
13:09:12 12-12-2024,0,60,43,9923,7155,3701,2999,1785,6486,16125,4111
13:09:13 12-12-2024,0,47,35,11034,26109,6803,3454,15431,8433,6420,1850
13:09:14 12-12-2024,0,56,41,13330,9672,4774,8987,4453,9122,6627,4217
13:09:15 12-12-2024,0,57,56,5396,8383,5867,4571,3744,6285,14088,3212
13:09:16 12-12-2024,0,48,44,65371,61651,5328,7336,4035,12587,12147,4021
13:09:17 12-12-2024,0,54,56,12885,13097,10891,15039,13098,21668,12231,5117
13:09:18 12-12-2024,0,44,40,505259,80934,11362,2289,4981,12728,7308,6688
13:09:19 12-12-2024,0,50,35,28437,29174,15066,5744,1737,26061,9436,2796
13:09:20 12-12-2024,0,56,43,6620,15284,3270,8618,8474,8515,13398,4468
13:09:21 12-12-2024,0,43,43,16031,30101,10255,18025,15559,8544,5881,3290
13:09:22 12-12-2024,0,51,64,15567,12928,11350,17851,5063,13483,15650,4268
13:09:23 12-12-2024,0,43,70,14095,15071,7704,10916,5913,7434,7432,3035
13:09:24 12-12-2024,0,43,77,23810,11694,2932,13838,10992,8443,5575,4806
13:09:25 12-12-2024,0,44,88,19511,17220,24992,27175,5189,12360,15220,4878
13:09:26 12-12-2024,0,44,78,31700,35196,8674,16941,11461,19652,10729,1388
13:09:27 12-12-2024,0,47,80,699777,10176,17423,5518,7501,7766,4198,2766
13:09:28 12-12-2024,0,54,78,7183,6062,6118,1749,2371,11861,6028,6046
13:09:29 12-12-2024,0,56,64,7703,22944,17803,4519,9491,8549,7447,3112
13:09:30 12-12-2024,0,61,69,12134,9051,4044,8896,3400,12723,7141,4748
13:09:31 12-12-2024,0,69,57,5630,7926,3510,2799,3757,6369,15919,5104
13:09:32 12-12-2024,0,70,48,984,7769,2024,3684,9649,14400,8941,2722
13:09:33 12-12-2024,0,80,47,6246,11124,7820,2130,2983,8555,9678,1153
13:09:34 12-12-2024,0,88,38,4066,3620,897,4356,8789,11354,4074,1952
13:09:35 12-12-2024,0,87,48,6706,4068,5752,10316,5251,7445,9818,988
13:09:36 12-12-2024,0,70,56,24382,19532,4041,7980,3153,8180,9438,5213
13:09:37 12-12-2024,0,64,54,95751,24215,6629,7137,6834,8690,14031,1650
13:09:38 12-12-2024,0,41,56,37086,61006,12315,8869,6424,10598,4961,7797
13:09:39 12-12-2024,0,29,34,451211,64746,7360,1435,4920,8674,10404,1778
13:09:40 12-12-2024,0,29,37,36088,14311,11348,3050,10869,7307,8084,2859
13:09:41 12-12-2024,0,34,38,50320,31902,9183,15534,10227,15850,9358,2222
13:09:42 12-12-2024,0,44,37,456447,48465,2948,18728,11226,27144,18661,4192
13:09:43 12-12-2024,0,50,53,319840,28240,10332,10737,5150,10256,5871,1822
13:09:44 12-12-2024,0,60,48,5764,8110,2731,5271,8223,12062,5936,3187
13:09:45 12-12-2024,0,57,47,22393,21883,7596,6401,6252,9464,5329,3135
13:09:46 12-12-2024,0,56,60,21645,21341,19276,11913,5480,16318,8073,2521
13:09:47 12-12-2024,0,53,60,52137,37651,22377,5873,5748,10695,7793,2136
13:09:48 12-12-2024,0,47,60,32733,27868,12868,742,5674,13392,7342,2299
13:09:49 12-12-2024,0,48,63,25344,15099,3663,9026,3909,8200,5105,4307
13:09:50 12-12-2024,0,40,63,63697,26956,24978,16434,12176,10546,9939,1823
13:09:51 12-12-2024,0,44,53,8782,27870,620,8315,4696,8930,6167,1083
13:09:52 12-12-2024,0,48,47,13944,17352,1501,5743,14036,10372,8038,3216
13:09:53 12-12-2024,0,48,40,2758,23194,3413,7505,6192,12161,10654,6570
13:09:54 12-12-2024,0,61,29,3379,13964,1642,9766,6479,15257,18626,2866
13:09:56 12-12-2024,0,56,47,23317,40520,10406,12501,18622,8617,3654,3039
13:09:57 12-12-2024,0,53,37,96716,8180,799,435,1336,2272,1373,645
13:09:58 12-12-2024,0,37,41,21991,40801,19332,3646,4624,7595,7687,4573
13:09:59 12-12-2024,0,30,53,8558,6125,25858,4946,6349,11604,4609,1976
13:10:00 12-12-2024,0,53,50,20551,14457,3434,8349,2762,28474,9425,3650
13:10:01 12-12-2024,0,51,64,30117,36125,12653,9748,3139,11909,19004,6053
13:10:02 12-12-2024,0,61,69,11029,12295,11822,6962,5556,10301,10738,11402
13:10:03 12-12-2024,0,69,63,965,2790,3283,7704,4052,8341,9322,2477
13:10:04 12-12-2024,0,53,78,8893,25269,20935,16855,3312,13394,3707,3586
13:10:05 12-12-2024,0,56,70,9447,24719,2780,8373,7966,10083,9638,3944
13:10:06 12-12-2024,0,61,63,21204,12895,3837,5809,4637,12909,12837,1282
13:10:07 12-12-2024,0,47,57,248300,54256,11463,24345,3948,11743,7156,2583
13:10:08 12-12-2024,0,54,51,12555,16826,16344,7700,4833,20710,7527,2509
13:10:09 12-12-2024,0,51,54,6405,35371,13916,1523,7451,10197,18512,2421
13:10:10 12-12-2024,0,43,66,9982,11264,19247,3261,5980,8104,17779,4335
13:10:11 12-12-2024,0,60,56,4598,8327,4186,1691,8752,10104,28143,6267
13:10:12 12-12-2024,0,47,54,26420,18388,5985,9723,7285,5821,3565,8113
13:10:13 12-12-2024,0,50,60,31183,50057,12109,25246,9978,20543,19935,4987
13:10:14 12-12-2024,0,54,51,36613,25445,12812,7150,4028,17410,11272,1791
13:10:15 12-12-2024,0,47,67,37059,29473,41379,11363,7979,22853,14356,3265
13:10:16 12-12-2024,0,63,60,4428,7609,4500,3538,8145,15162,15715,2953
13:10:17 12-12-2024,0,70,61,5287,5253,9774,6502,10543,11700,9191,3409
13:10:18 12-12-2024,0,74,51,5691,17343,3885,1430,2980,10637,7222,3187
13:10:19 12-12-2024,0,81,41,3290,6516,3227,3657,4031,8669,7821,3283
13:10:20 12-12-2024,0,69,51,11464,19029,10809,10251,5884,10547,9983,2934
13:10:21 12-12-2024,0,63,51,10182,28132,24017,4681,6406,15568,6391,5138
13:10:22 12-12-2024,0,63,60,10166,10063,6544,6480,17802,11036,7690,3776
13:10:23 12-12-2024,0,54,64,41807,11883,4933,12867,10998,7965,12443,5351
13:10:24 12-12-2024,0,57,63,9452,26616,13508,18170,10206,23921,15038,8588
13:10:25 12-12-2024,0,56,61,4125,10372,6238,5137,5878,5616,5266,4166
13:10:26 12-12-2024,0,44,77,50570,31633,20574,34773,3818,13261,10002,5825
13:10:27 12-12-2024,0,63,66,5724,5157,5907,1155,4862,19528,4950,7788
13:10:28 12-12-2024,0,56,64,25581,28092,8288,15450,17570,10784,8740,3807
13:10:29 12-12-2024,0,56,61,4140,19811,8373,6249,7184,8047,8970,4024
13:10:30 12-12-2024,0,64,48,6972,11216,5593,2261,6058,7167,9596,3606
13:10:31 12-12-2024,0,40,48,44991,60629,14448,6123,19816,11786,10937,3211
13:10:32 12-12-2024,0,37,51,22630,25239,2814,20112,4018,7617,7228,1305
13:10:33 12-12-2024,0,50,50,8644,9010,6104,2921,2950,14220,21467,5114
13:10:34 12-12-2024,0,43,61,3387,15092,17147,11213,3636,8024,16484,2664
13:10:35 12-12-2024,0,63,69,5869,3184,2606,9713,6643,15576,14021,5684
13:10:36 12-12-2024,0,84,69,3010,1370,6548,3931,4724,13648,18692,2704
13:10:37 12-12-2024,0,81,75,3464,6267,10673,6107,10823,12475,9403,6745
13:10:38 12-12-2024,0,91,64,14393,11386,10747,3341,9044,13048,2469,6914
13:10:39 12-12-2024,0,90,43,7490,18067,2358,1730,13811,17399,13620,9373
13:10:40 12-12-2024,0,64,27,510306,74504,5669,7469,8001,9355,8331,4728
13:10:41 12-12-2024,0,57,30,54367,12091,6447,20523,8625,11942,14806,1971
13:10:42 12-12-2024,0,57,34,4902,16232,5666,11478,7031,15927,22261,12614
13:10:43 12-12-2024,0,48,48,10704,16807,5011,4109,3586,8744,11773,1763
13:10:44 12-12-2024,0,51,66,13320,15035,11329,5408,8300,4780,8611,4201
13:10:45 12-12-2024,0,53,63,2848,3293,2701,8388,7131,5562,2397,4320
13:10:46 12-12-2024,0,43,67,7281,27089,8518,23600,8721,12077,4018,1323
13:10:47 12-12-2024,0,51,60,21244,13099,2052,2824,5631,13546,4437,1053
13:10:48 12-12-2024,0,69,43,20616,17971,1945,4552,5698,18382,6893,1510
13:10:49 12-12-2024,0,64,41,31194,41887,13595,18494,2653,18369,6225,2492
13:10:50 12-12-2024,0,83,30,9012,4262,3879,3786,7620,12926,5704,3339
13:10:51 12-12-2024,0,69,54,1759,4293,10495,8143,5838,5453,8351,2814
13:10:52 12-12-2024,0,70,63,18144,7235,4273,7185,12932,18146,4771,3070
13:10:53 12-12-2024,0,81,64,11461,11252,6990,11664,2268,16624,8122,4373
13:10:54 12-12-2024,0,69,69,10270,27954,8097,15566,5026,17975,27623,5810
13:10:55 12-12-2024,0,88,41,10449,14265,1564,4024,15743,24666,9365,3211
13:10:56 12-12-2024,0,75,48,11126,9597,7203,4213,5707,5326,17768,3707
13:10:57 12-12-2024,0,75,37,37626,19526,7936,3167,8693,20146,15764,2590
13:10:58 12-12-2024,0,87,34,3775,4217,6609,5232,14247,18206,19609,5003
13:10:59 12-12-2024,0,90,47,2143,4534,2962,7853,839,26766,6625,3949
13:11:00 12-12-2024,0,100,38,3784,9210,4648,4700,10160,16902,15363,4813
13:11:01 12-12-2024,0,94,41,29878,33275,7105,9204,10997,12714,12401,12411
13:11:02 12-12-2024,0,80,43,519365,26013,3463,14470,7540,11697,10366,5113
13:11:03 12-12-2024,0,67,50,973,14242,13429,13662,8900,26414,13318,5240
13:11:04 12-12-2024,0,63,50,13095,24231,10418,4889,6298,22772,8907,5147
13:11:05 12-12-2024,0,64,44,275962,77099,14118,7690,7625,28272,7214,2756
13:11:06 12-12-2024,0,70,47,12966,12444,7595,9144,4838,15960,5580,4851
13:11:07 12-12-2024,0,80,43,3384,5975,8403,5833,5958,25655,23646,7963
13:11:08 12-12-2024,0,93,43,2228,325,1986,7248,8201,23760,21371,8565
13:11:09 12-12-2024,0,100,44,9744,8812,3261,4711,11322,16807,25447,3940
13:11:10 12-12-2024,0,93,37,34457,45822,8900,7273,9436,12510,12633,1655
13:11:11 12-12-2024,0,88,34,13714,22778,22064,1878,14928,38780,27880,10360
13:11:12 12-12-2024,0,63,34,14084,44929,11527,7901,6993,13067,9411,9361
13:11:13 12-12-2024,0,50,47,13607,50640,37845,16556,5767,26702,11068,4536
13:11:14 12-12-2024,0,66,50,17310,7169,1135,8966,5666,19581,18963,2487
13:11:15 12-12-2024,0,48,43,56824,56823,6435,7481,16406,9467,14697,4607
13:11:16 12-12-2024,0,64,29,6888,17769,1413,2221,3496,18797,12564,7119
13:11:17 12-12-2024,0,61,13,236716,87856,2256,17537,16776,23003,13227,6162
13:11:18 12-12-2024,0,56,13,1541,5763,2121,3621,6094,7506,10184,2240
13:11:19 12-12-2024,0,66,24,4144,13357,6228,5554,2125,10126,13789,14690
13:11:20 12-12-2024,0,53,50,5166,8508,14256,10753,12611,9155,13209,3520
13:11:21 12-12-2024,0,66,61,4976,7956,1616,11736,8455,16178,10776,4379
13:11:22 12-12-2024,0,54,60,46064,59776,12162,11678,10054,15527,9949,8733
13:11:23 12-12-2024,0,63,51,8885,19951,2695,9965,8607,31406,10057,4410
13:11:24 12-12-2024,0,69,48,32124,22372,16429,12982,3220,20905,14054,5468
13:11:25 12-12-2024,0,64,40,9037,28119,3896,7318,2741,18730,7502,2908
13:11:26 12-12-2024,0,75,47,17009,8991,4998,11127,11624,12978,6197,9939
13:11:27 12-12-2024,0,70,53,11242,10236,6577,3938,4085,16328,19678,4207
13:11:28 12-12-2024,0,64,53,17857,28411,24237,10246,6396,15294,25722,1878
13:11:29 12-12-2024,0,64,64,24268,17316,21428,10798,16870,24881,9814,6048
13:11:30 12-12-2024,0,54,60,13055,34236,7675,7415,7491,7931,13286,4171
13:11:31 12-12-2024,0,47,64,4402,16784,14425,4139,7604,12227,6762,2377
13:11:32 12-12-2024,0,51,56,26170,26560,6264,10928,5325,16169,14465,5333
13:11:33 12-12-2024,0,51,66,5288,5381,26569,6684,4059,19448,9469,2069
13:11:34 12-12-2024,0,63,69,12568,18978,4749,14911,12099,20079,12124,9686
13:11:35 12-12-2024,0,74,64,6991,5076,3929,4028,5561,12881,13028,8115
13:11:36 12-12-2024,0,74,57,30418,27047,5569,5681,8627,14398,6635,4605
13:11:37 12-12-2024,0,75,40,7726,20722,7817,3109,4850,18901,7289,10773
13:11:38 12-12-2024,0,87,35,9750,11394,6922,5759,7903,30883,11548,7458
13:11:39 12-12-2024,0,67,44,20404,37967,18277,36636,12004,14588,10443,3013
13:11:40 12-12-2024,0,69,40,4951,38776,4631,5667,7769,21348,7307,4184
13:11:41 12-12-2024,0,78,40,29823,12566,8002,5819,4740,38288,6472,3089
13:11:42 12-12-2024,0,74,48,22334,5213,3207,14409,11885,16401,8550,2816
13:11:43 12-12-2024,0,94,24,18272,17878,5522,1317,11462,35837,14602,12428
13:11:44 12-12-2024,0,94,35,486198,23213,12513,5388,5722,21827,10982,4929
13:11:45 12-12-2024,0,83,40,22500,16951,12204,7497,16337,17578,10701,5642
13:11:46 12-12-2024,0,78,41,2425,9588,6477,10396,8252,12280,6938,3972
13:11:47 12-12-2024,0,74,51,13105,12185,4770,3817,7321,17670,4763,6284
13:11:48 12-12-2024,0,66,48,14909,56290,20438,3132,7180,17569,2967,2124
13:11:49 12-12-2024,0,54,48,16892,34818,14940,7350,8911,10146,6004,9080
13:11:50 12-12-2024,0,53,47,9274,21603,10533,6638,4431,13366,6610,5216
13:11:51 12-12-2024,0,47,47,17416,24617,1837,10086,11604,14851,8481,5255
13:11:52 12-12-2024,0,44,51,23802,22514,14650,8500,13508,9203,9122,5666
13:11:53 12-12-2024,0,53,64,1427,3346,9681,18181,5218,14652,6133,773
13:11:54 12-12-2024,0,57,57,11179,11856,7106,2907,9491,11628,24597,3409
13:11:55 12-12-2024,0,54,69,6899,9919,9897,10271,11614,8779,5701,5614
13:11:56 12-12-2024,0,56,66,16787,58219,22764,5951,4731,18892,2518,1028
13:11:57 12-12-2024,0,63,54,4511,7451,5145,6156,5600,15689,13007,2411
13:11:58 12-12-2024,0,67,60,17939,5950,3591,9628,6086,16630,6248,3842
13:11:59 12-12-2024,0,75,53,4021,5740,4603,1750,4804,6916,5002,3056
13:12:00 12-12-2024,0,83,43,2692,11967,4032,1161,11503,8567,4795,2902
13:12:01 12-12-2024,0,74,43,8267,22167,4310,12810,11123,12633,38043,3949
13:12:02 12-12-2024,0,60,34,37051,68873,15525,2827,4254,23813,15422,3780
13:12:03 12-12-2024,0,60,35,18180,15147,10179,6988,11723,16821,12537,10851
13:12:04 12-12-2024,0,51,51,12002,29726,19944,11161,8837,13270,21456,4751
13:12:05 12-12-2024,0,51,40,118416,57422,8078,5977,12159,22816,15982,9061
13:12:06 12-12-2024,0,53,53,15206,30157,27633,8090,5050,25574,13069,7215
13:12:07 12-12-2024,0,51,43,25390,13678,2478,4988,22603,9032,7824,5153
13:12:08 12-12-2024,0,60,38,17008,12500,8596,6719,10417,13016,6901,4216
13:12:09 12-12-2024,0,51,54,3658,40477,21495,23072,5851,13633,29999,6514
13:12:10 12-12-2024,0,60,43,4871,18216,725,7324,2786,18955,12853,9849
13:12:11 12-12-2024,0,57,53,6957,28412,14028,7014,11947,17056,20624,9738
13:12:12 12-12-2024,0,61,48,1540,9784,5140,4707,14038,11731,12786,5559
13:12:13 12-12-2024,0,75,44,2795,4098,5410,5411,3316,10107,16779,8589
13:12:14 12-12-2024,0,74,43,194476,76722,16571,9296,8336,64640,21230,10049
13:12:15 12-12-2024,0,83,35,45759,10863,4625,4960,23879,17384,26042,7632
13:12:16 12-12-2024,0,77,38,12217,9529,3544,4048,5948,5387,2461,3883
13:12:17 12-12-2024,0,60,35,2971,31575,13944,7535,13923,7035,6234,5805
13:12:18 12-12-2024,0,40,35,40668,50928,3853,7914,8960,6226,16550,7856
13:12:19 12-12-2024,0,37,43,7529,20096,3908,14886,2648,23385,16992,2916
13:12:20 12-12-2024,0,41,44,18871,6314,6256,5995,13268,10711,10818,5889
13:12:21 12-12-2024,0,56,43,3826,10881,3587,5208,4628,10326,17067,5546
13:12:22 12-12-2024,0,67,60,14861,13580,12069,11300,6160,11683,5319,2275
13:12:23 12-12-2024,0,61,63,11457,11231,8251,5092,5451,7047,3390,3159
13:12:24 12-12-2024,0,48,67,6776,21691,15566,5170,9627,6244,7464,8096
13:12:25 12-12-2024,0,40,63,10757,31403,8133,4169,12723,11165,7774,11411
13:12:26 12-12-2024,0,29,70,8732,23159,16577,37213,3006,9683,7230,2968
13:12:27 12-12-2024,0,21,61,55151,56818,12775,6728,6675,9478,12048,3135
13:12:28 12-12-2024,0,24,75,19753,11401,35546,6138,5041,10800,12383,4625
13:12:29 12-12-2024,0,37,69,10506,13404,298,4388,5066,13020,3051,4086
13:12:30 12-12-2024,0,48,54,7689,9171,2949,8694,7222,8565,6591,10201
13:12:31 12-12-2024,0,74,51,7229,8726,3751,2425,4691,19019,7362,2534
13:12:32 12-12-2024,0,87,38,9326,2749,8802,2229,5823,12028,10449,1720
13:12:33 12-12-2024,0,81,27,109724,9500,368,335,2630,3714,2581,381
13:12:34 12-12-2024,0,70,17,9677,51796,4001,8691,15834,10421,11091,2234
13:12:35 12-12-2024,0,57,27,47429,15118,8881,4597,9016,10987,7744,3515
13:12:36 12-12-2024,0,48,30,9332,8332,6906,11321,10843,7750,7542,4114
13:12:37 12-12-2024,0,41,60,14222,23556,19214,1685,2909,9034,5050,10697
13:12:38 12-12-2024,0,47,70,1710,12897,5343,5266,4617,5578,9283,3105
13:12:39 12-12-2024,0,41,74,10486,17805,8822,9890,9829,9801,11162,4216
13:12:40 12-12-2024,0,53,66,6150,4390,1019,4064,2520,9469,5593,4010
13:12:41 12-12-2024,0,44,60,41029,41587,11265,8430,6917,6086,8011,4661
13:12:42 12-12-2024,0,44,60,18540,13286,2637,7579,3591,4879,5423,4420
13:12:43 12-12-2024,0,38,40,20551,54777,1959,3170,2661,8794,10632,3805
13:12:44 12-12-2024,0,41,43,2514,3594,5536,2829,2722,15513,17925,2081
13:12:45 12-12-2024,0,57,48,4368,7469,4957,4370,4202,7364,21897,8110
13:12:46 12-12-2024,0,57,30,13227,51171,5640,1670,2077,13032,13714,7139
13:12:47 12-12-2024,0,70,48,6249,11709,6255,6487,8720,13764,10801,5645
13:12:48 12-12-2024,0,41,34,18759,69112,4452,4068,12119,6215,6977,2633
13:12:49 12-12-2024,0,41,21,37639,18809,1412,3715,6515,9608,12716,7505
13:12:50 12-12-2024,0,43,38,22617,24327,14570,7931,5331,11906,9591,1520
13:12:51 12-12-2024,0,29,50,60551,5492,6603,5134,1833,2972,2606,2933
13:12:52 12-12-2024,0,43,70,99256,3583,2997,5476,4395,3168,2661,987
13:12:53 12-12-2024,0,60,74,1963,2879,3153,3671,9041,25887,10148,6575
13:12:54 12-12-2024,0,66,77,69102,8783,13895,14177,7232,17651,15585,4935
13:12:55 12-12-2024,0,87,69,11481,7022,17263,4242,4055,31586,9382,9604
13:12:56 12-12-2024,0,87,66,18047,28664,17776,11233,2667,17191,9202,18171
13:12:57 12-12-2024,0,83,63,4329,8046,2952,2857,5245,29410,30865,5398
13:12:58 12-12-2024,0,74,54,46531,68429,16905,11880,11500,15722,32767,6387
13:12:59 12-12-2024,0,57,47,54418,36358,10687,4594,14168,13292,15532,3724
13:13:00 12-12-2024,0,64,44,32804,27079,32466,7068,3257,42946,18041,13215
13:13:01 12-12-2024,0,44,64,19738,21299,28388,12389,6698,19573,9901,16935
13:13:02 12-12-2024,0,61,57,1451,6487,2434,1678,8644,10747,19340,6503
13:13:03 12-12-2024,0,75,61,4172,13978,13711,4709,7176,30402,17153,11872
13:13:04 12-12-2024,0,64,54,119218,12282,1960,2576,487,3454,4230,956
13:13:05 12-12-2024,0,61,51,52727,19228,16914,5356,7256,8613,20242,2402
13:13:06 12-12-2024,0,61,54,11316,12794,7693,4557,4669,24664,13893,5870
13:13:07 12-12-2024,0,51,47,16697,19119,4669,2925,16714,9921,13328,8500
13:13:08 12-12-2024,0,57,56,12200,11871,5138,12180,4933,11237,19719,3280
13:13:09 12-12-2024,0,78,47,7206,3436,5348,1941,9520,16482,14491,2352
13:13:10 12-12-2024,0,56,50,66083,70374,15236,13277,6921,11995,12349,6810
13:13:11 12-12-2024,0,56,69,6794,9479,12090,14926,3986,12510,9392,3933
13:13:12 12-12-2024,0,48,57,32205,59071,11220,5097,5705,13190,16583,4456
13:13:13 12-12-2024,0,29,63,6290,16854,5281,8712,3196,8996,15774,4935
13:13:14 12-12-2024,0,50,66,4153,9988,5424,9165,3525,18886,12229,2509
13:13:15 12-12-2024,0,53,57,11308,18260,5787,17679,12536,20732,9773,3436
13:13:16 12-12-2024,0,67,63,2157,9745,1223,11992,6863,18320,20740,6064
13:13:17 12-12-2024,0,77,60,6591,12081,3754,6131,4748,12584,6385,3823
13:13:18 12-12-2024,0,75,63,5271,3158,8232,6847,9158,11452,11763,2910
13:13:19 12-12-2024,0,70,53,21115,33626,4426,7364,12577,15888,10556,9728
13:13:20 12-12-2024,0,54,50,37021,57363,7917,10337,10939,12281,12181,8051
13:13:21 12-12-2024,0,56,51,15044,9288,10946,4304,8276,17523,27367,6369
13:13:22 12-12-2024,0,67,30,17030,9682,1738,1897,4715,26079,25791,2054
13:13:23 12-12-2024,0,74,43,9103,9913,7105,14802,11859,18669,19806,5144
13:13:24 12-12-2024,0,78,57,1460475,21815,8287,30978,8116,15385,18802,11873
13:13:25 12-12-2024,0,74,61,30568,7887,9902,13254,14436,13412,4610,3526
13:13:26 12-12-2024,0,63,70,18780,16349,6119,3160,7566,17722,13348,5061
13:13:27 12-12-2024,0,64,69,9195,11743,9568,11205,5711,26516,7801,3577
13:13:28 12-12-2024,0,70,66,5758,12358,3234,17604,6624,17535,14210,5266
13:13:29 12-12-2024,0,75,61,21827,15125,4388,11969,3136,20043,19846,9320
13:13:30 12-12-2024,0,88,56,2125,4756,950,4449,9475,25225,28947,4639
13:13:31 12-12-2024,0,84,54,6042,20216,9680,13925,8480,24097,13001,6712
13:13:32 12-12-2024,0,88,54,3156,6862,6953,7949,7707,13835,22883,4696
13:13:33 12-12-2024,0,91,51,4088,4949,3050,8473,12735,16082,9346,10053
13:13:34 12-12-2024,0,75,69,1414,7974,6277,15677,8534,13891,13970,7180
13:13:35 12-12-2024,0,74,77,6014,7735,15411,8383,3677,15898,6900,3080
13:13:36 12-12-2024,0,84,69,5509,2711,2812,4983,3443,20537,31083,1893
13:13:37 12-12-2024,0,87,66,18333,5803,2603,3540,5796,12448,20732,3543
13:13:38 12-12-2024,0,97,53,133760,30520,16779,5670,11693,68009,32347,15383
13:13:39 12-12-2024,0,91,48,216518,48160,12233,35310,15217,22560,12834,3906
13:13:40 12-12-2024,0,93,44,1927,2282,4088,3646,13179,23148,12551,9084
13:13:41 12-12-2024,0,83,53,8632,11891,1108,12874,5750,10989,7962,2278
13:13:42 12-12-2024,0,84,50,1600,11534,2619,5439,2142,35835,10021,3348
13:13:43 12-12-2024,0,97,38,505264,18766,2991,6090,6781,23664,23768,6672
13:13:44 12-12-2024,0,57,43,224826,274336,44359,63706,12882,17506,29872,8421
13:13:45 12-12-2024,0,60,41,13534,18958,4293,12082,1798,16448,9540,14559
13:13:46 12-12-2024,0,37,50,27699,22089,3138,8306,8373,6394,12226,5583
13:13:47 12-12-2024,0,26,57,13389,18011,7316,6786,7411,9577,8877,5958
13:13:48 12-12-2024,0,63,53,11711,6263,4861,4875,4602,28778,17072,6184
13:13:49 12-12-2024,0,57,41,9343,27677,3860,3073,13065,11713,10460,1847
13:13:50 12-12-2024,0,60,44,62429,30339,15332,7461,10400,9404,10749,4076
13:13:51 12-12-2024,0,63,53,6693,6656,8304,5578,2757,8169,4636,4335
13:13:52 12-12-2024,0,47,61,376060,8869,5800,8583,7611,8536,9038,4902
13:13:53 12-12-2024,0,50,77,4384,7472,4988,7631,6485,7948,4915,7279
13:13:54 12-12-2024,0,53,77,3277,35271,22829,8551,12937,19760,13249,3055
